root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940618889931,[],GNG.3323,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],right,122,15
720575940610259406,['pharyngeal GRN'],GNG.1917,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],right,114,761
720575940636542565,[],GNG.1993,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],right,111,362
720575940611056482,[],GNG.2069,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,109,319
720575940638608803,[],PRW.214,ACH,afferent,sensory,gustatory,,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],left,98,349
720575940625163790,['pharyngeal GRN'],GNG.1619,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,97,458
720575940611351193,[],GNG.2232,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,92,159
720575940632423394,['pharyngeal GRN'],GNG.1439,ACH,afferent,sensory,gustatory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,91,437
720575940634667234,[],GNG.2217,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,90,153
720575940627219272,[],GNG.2752,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'],left,90,41
720575940621870349,['pharyngeal GRN'],PRW.GNG.33,ACH,afferent,sensory,gustatory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,88,383
720575940625032548,['pharyngeal GRN'],GNG.1591,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,84,531
720575940620575579,[],GNG.2571,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'],left,81,133
720575940628329546,[],GNG.1657,ACH,afferent,sensory,gustatory,,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,79,409
720575940620699162,[],GNG.2212,,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'],left,79,204
720575940610103906,[],GNG.2398,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],left,79,140
720575940629972215,[],GNG.2814,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'],left,79,55
720575940636943849,[],GNG.2133,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],left,78,243
720575940616562150,['pharyngeal GRN'],PRW.199,ACH,afferent,sensory,gustatory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,77,350
720575940633660314,[],GNG.2248,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,72,153
720575940612819763,[],GNG.2394,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],left,72,138
720575940615879995,[],GNG.2920,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'],left,69,55
720575940616791067,[],GNG.2918,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'],left,66,64
720575940623458633,[],GNG.2371,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,65,116
720575940638054197,[],GNG.2528,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'],right,65,97
720575940635391845,[],GNG.1709,ACH,afferent,sensory,gustatory,,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,64,297
720575940616196539,[],GNG.1025,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,63,2292
720575940620885342,[],GNG.2628,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'],right,62,111
720575940630597177,[],GNG.2543,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'],left,61,114
720575940625173006,[],GNG.2367,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],left,59,115
720575940622406694,[],GNG.2327,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,57,181
720575940611643033,[],GNG.1040,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,56,2409
720575940624186602,[],GNG.3056,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'],right,56,40
720575940628673474,[],PRW.216,ACH,afferent,sensory,gustatory,,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],left,55,334
720575940635739504,[],GNG.2589,,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'],left,55,175
720575940635005303,[],GNG.2294,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],left,53,176
720575940621848781,[],GNG.2984,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'],right,50,63
720575940640611803,[],GNG.3121,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'],right,49,45
720575940617668662,[],GNG.2575,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],right,48,150
720575940630734393,[],GNG.2812,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'],right,48,86
720575940616308921,[],GNG.2577,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,47,138
720575940618156315,[],GNG.3089,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['feedforward_loop_participant'],right,44,52
720575940612420118,[],GNG.4183,,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,[],left,40,0
720575940631284511,[],PRW.377,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,39,120
720575940611168921,[],GNG.3014,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,35,90
720575940637165028,[],PRW.405,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'],right,34,148
720575940631069255,[],GNG.2738,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'],right,24,121
720575940628891774,['labial GRN'],GNG.3433,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'],right,17,51
720575940612642730,[],GNG.1214,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],right,16,905
720575940622606106,[],GNG.1131,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],left,14,1170
720575940629112887,[],PRW.GNG.59,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN,[],right,6,40
